name,oru_sonic_codes,diagnostic,diagnostic_groups,oru_sonic_units,units,min_age,max_age,gender,standard_lower,standard_higher,everlab_lower,everlab_higher
Random Urinary Albumin,"U Albumin, random;R U-Albumin",Urinary Albumin-to-Creatinine Ratio (Early Kidney Protein Loss Detection),FPU uACR,mg/L,mg/L,0,200,Any,,,,
Urinary Albumin-to-Creatinine Ratio,U Albumin/Creatinine ratio;R U-Albumin/Creat,Urinary Albumin-to-Creatinine Ratio (Early Kidney Protein Loss Detection),FPU uACR,mg/mmol,mg/mmol,0,200,Any,3.5,,,2.78
Vitamin B12,Vitamin B12;Total Vitamin B12:;,Vitamin B12,Vit B12,pmol/L,pmol/L,0,200,Any,200,700,181.82,777.78
Vitamin D3,25-Hydroxy Vitamin D;Vitamin D,Vitamin D3,Vit D,nmol/L,nmol/L,0,200,Any,50,250,45.45,277.78
Neutrophils,Neutrophils,White Cell Count and Profile,FBE,x10*9/L,x10*9/L,0,200,Any,2,7.5,1.82,8.33
Eosinophils,Eosinophils,White Cell Count and Profile,FBE,x10*9/L,x10*9/L,0,200,Any,0,0.5,,0.56
Basophils,Basophils,White Cell Count and Profile,FBE,x10*9/L,x10*9/L,0,200,Any,0,0.3,,0.33
Lymphocytes,Lymphocytes,White Cell Count and Profile,FBE,x10*9/L,x10*9/L,0,200,Any,1,4,0.91,4.44
Monocytes,Monocytes,White Cell Count and Profile,FBE,x10*9/L,x10*9/L,0,200,Any,0,1,,1.11
Total White Cell Count,White cell count,White Cell Count and Profile,FBE,x10*9/L,x10*9/L,0,200,Any,4,11,3.64,12.22
Zinc Level,Serum Zinc;Zinc-plasma,Zinc Level,Zinc,umol/L,umol/L,0,200,Any,9,19,8.18,21.11
Honey bee venom,Honey bee venom,,,kU/L,kU/L,0,200,Any,,,,
Paper wasp venom,Paper wasp venom,,,kU/L,kU/L,0,200,Any,,,,
Tryptase,Tryptase,,,ug/L,ug/L,0,200,Any,,13.5,,15
Yellow jacket venom,Yellow jacket venom,,,kU/L,kU/L,0,200,Any,,,,
Dustmite,Dustmite,,,kU/L,kU/L,0,200,Any,,,,
Staple Food Mix,Staple Food Mix,,,kU/L,kU/L,0,200,Any,,,,
Perennial rye grass,Perennial rye grass,,,,,0,200,Any,,,,
Alternaria alternata,Alternaria alternata,,,kU/L,kU/L,0,200,Any,,,,
Creatine kinase,CK,,,U/L,U/L,0,200,Any,45,250,40.91,277.78
Lipase,Lipase,,,U/L,U/L,0,200,Any,10,55,9.09,61.11
EIA Antigen,EIA Antigen:,,,,,0,200,Any,,,,
Endomysial Antibodies,Endomysial Antibodies:,,,,,0,200,Any,,,,
HIV Antibodies,HIV 1/2 Antibodies:;HIV 1/2 Antigen/Antibody,,,,,0,200,Any,,,,
"1,25 Dihydroxycalciferol","1,25 Dihydroxycalciferol",,,pmol/L,pmol/L,0,200,Any,60,208,54.55,231.11
Extractable Nuclear Antigens,Extractable Nuclear Antigens:,,,,,0,200,Any,,,,
Syphilis Ab,Syphilis Ab,,,,,0,200,Any,,,,
Rubella IgG,Rubella IgG,,,IU/mL,IU/mL,0,200,Any,,,,
Varicella zoster IgG,Varicella zoster IgG:,,,,,0,200,Any,,,,
Blood Group,Blood Group,,,,,0,200,Any,,,,
Blood Group Antibody screen,Antibody screen,,,,,0,200,Any,,,,
FVC,,Breathing and Lung Function,Breathing and Lung Function,,Liters,0,200,Any,,,,
FEF-25-75,,Breathing and Lung Function,Breathing and Lung Function,,Liters,0,200,Any,,,,
FEF75,,Breathing and Lung Function,Breathing and Lung Function,,Liters,0,200,Any,,,,
IGF-1,,Insulin-like growth factor 1,IGF-1,,ng/mL,0,200,Any,0.1,8,0.09,8.89
Lumbar Spine Density,,Bone Mineral Density Measurement,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,g/cm²,0,200,Any,,,,
Right Femoral Neck Density Standardised Comparison,,Bone Mineral Density Measurement,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,Z-Score,0,200,Any,,,-0.56,
Left Femoral Neck Density Standardised Comparison,,Bone Mineral Density Measurement,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,Z-Score,0,200,Any,,,-0.56,
Lumbar Spine Density Standardised Comparison,,Bone Mineral Density Measurement,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,Z-Score,0,200,Any,,,-0.56,
FEV1 Standardised Comparison,,Breathing and Lung Function,Breathing and Lung Function,,Z-Score,0,200,Any,,,-0.56,
FVC Standardised Comparison,,Breathing and Lung Function,Breathing and Lung Function,,Z-Score,0,200,Any,,,-0.56,
FEF-25-75 Standardised Comparison,,Breathing and Lung Function,Breathing and Lung Function,,Z-Score,0,200,Any,,,-0.56,
FEF75 Standardised Comparison,,Breathing and Lung Function,Breathing and Lung Function,,Z-Score,0,200,Any,,,-0.56,
FEV1 % Predicted,,Breathing and Lung Function,Breathing and Lung Function,,% Predicted,0,200,Any,,,,
FVC % Predicted,,Breathing and Lung Function,Breathing and Lung Function,,% Predicted,0,200,Any,,,,
FEF-25-75 % Predicted,,Breathing and Lung Function,Breathing and Lung Function,,% Predicted,0,200,Any,,,,
FEF75 % Predicted,,Breathing and Lung Function,Breathing and Lung Function,,% Predicted,0,200,Any,,,,
Fat Mass Index (Female) 18-34,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,18,34,Female,,,2.91,5.56
Fat Mass Index (Male) 35-54,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,35,54,Male,,,,5.39
Fat Mass Index (Male) 55-74,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,55,74,Male,,,,6.39
Fat Mass Index (Male) 75+,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,75,200,Male,,,,7.11
Fat Mass Index (Female) 35-54,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,35,54,Female,,,3.36,6.67
Fat Mass Index (Female) 55-74,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,55,74,Female,,,3.91,8
Fat Mass Index (Female) 75+,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,75,200,Female,,,4.73,8.44
Uric Acid (Female),,Uric Acid,Uric Acid,,mmol/L,0,200,Female,0.2,0.5,0.13,0.39
Uric Acid,S Uric Acid:;Urate,Uric Acid,Uric Acid,mmol/L,mmol/L,0,200,Any,0.2,0.5,0.18,0.41
Fat Mass Index,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,18,34,Male,,,,4.11
